Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
utilities.Mobile_Keywords.scrollFromTopToBottom(),,,,2024-02-26 11:50:06,2024-02-26 11:50:13,6.629s,PASSED
takeScreenshot(),,,,2024-02-26 11:50:13,2024-02-26 11:50:13,0.402s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.Dynamic_Button"", [""text"":""Get Quote""]), 0, CONTINUE_ON_FAILURE)",,Tap to get qoute,,2024-02-26 11:50:13,2024-02-26 11:50:14,0.119s,PASSED
"currency_TextMsg1 = getText(findTestObject(""General/android.widget.TextView _Conversion""), 0, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:14,2024-02-26 11:50:16,2.686s,PASSED
roundedNumber1 = Validation.convertUSDToMYR(currency_TextMsg1),,,,2024-02-26 11:50:16,2024-02-26 11:50:16,0.001s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Confirmation""]), 5, CONTINUE_ON_FAILURE)",,Wait for confirmation page to show,,2024-02-26 11:50:16,2024-02-26 11:50:16,0.107s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transfer from""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:16,2024-02-26 11:50:16,0.092s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Global Access Account-i (MYR)""]), 5, CONTINUE_ON_FAILURE)",,Verify Transfer from is showing Global Access Account-i,,2024-02-26 11:50:16,2024-02-26 11:50:16,0.088s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transfer to""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:16,2024-02-26 11:50:17,0.091s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Global Access Account-i (USD)""]), 5, CONTINUE_ON_FAILURE)",,Verify Transfer TO is showing Global Access Account-i,,2024-02-26 11:50:17,2024-02-26 11:50:17,0.138s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Amount to receive""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:17,2024-02-26 11:50:17,0.678s,PASSED
"println(""below is the rounded number"" + roundedNumber1)",,,,2024-02-26 11:50:17,2024-02-26 11:50:17,0.017s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""USD "" + roundedNumber1]), 5, CONTINUE_ON_FAILURE)",,Verify the Conversion Amount USD,,2024-02-26 11:50:17,2024-02-26 11:50:18,0.177s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction type""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:18,2024-02-26 11:50:18,0.114s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Currency Conversion""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:18,2024-02-26 11:50:18,0.663s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""I have read and agree to the BNM Foreign Exchange Rules, I accept the declaration as well as the Terms & Conditions for this transfer.""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:18,2024-02-26 11:50:24,5.127s,FAILED
takeScreenshot(CONTINUE_ON_FAILURE),,,,2024-02-26 11:50:24,2024-02-26 11:50:24,0.379s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.view.View - I have read and agree to the BNM Foreign Exchange Rules, I accept the declaration as well as the Terms  Conditions for this transfer""), 0, CONTINUE_ON_FAILURE)",,Confirm Term & Condition,,2024-02-26 11:50:24,2024-02-26 11:50:24,0.577s,PASSED
utilities.Mobile_Keywords.scrollFromTopToBottom(),,,,2024-02-26 11:50:24,2024-02-26 11:50:31,6.626s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.Dynamic_Button"", [""text"":""Confirm""]), 0, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:31,2024-02-26 11:50:31,0.315s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction Successful""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:31,2024-02-26 11:50:38,6.114s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction Successful""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:38,2024-02-26 11:50:38,0.086s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Reference ID""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:38,2024-02-26 11:50:38,0.074s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Order ID""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:38,2024-02-26 11:50:38,0.076s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Date & time""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:38,2024-02-26 11:50:38,0.064s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Converted from""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:38,2024-02-26 11:50:38,0.068s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Amount received""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:38,2024-02-26 11:50:38,0.069s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""USD "" + roundedNumber1]), 5, CONTINUE_ON_FAILURE)",,Verify the Conversion Amount USD,,2024-02-26 11:50:38,2024-02-26 11:50:38,0.080s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Exchange rate""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:38,2024-02-26 11:50:38,0.070s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction type""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:38,2024-02-26 11:50:38,0.072s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Currency Conversion""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:38,2024-02-26 11:50:38,0.078s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Share Receipt""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:38,2024-02-26 11:50:38,0.078s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Done""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:38,2024-02-26 11:50:38,0.069s,PASSED
takeScreenshot(CONTINUE_ON_FAILURE),,,,2024-02-26 11:50:38,2024-02-26 11:50:39,0.351s,PASSED
"tap(findTestObject(""Global Account Page/dynamicText"", [""text"":""Share Receipt""]), 0, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:39,2024-02-26 11:50:39,0.116s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Currency Exchange""]), 5, CONTINUE_ON_FAILURE)",,Wait for Share Receipt to show,,2024-02-26 11:50:39,2024-02-26 11:50:41,2.021s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Completed""]), 5, CONTINUE_ON_FAILURE)",,Receipt show successful,,2024-02-26 11:50:41,2024-02-26 11:50:41,0.106s,PASSED
