Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Entry Point - Quick Action (1),,,,2024-02-26 13:28:41,2024-02-26 13:31:13,2m - 31.858s,FAILED
,,,,,,,
Test Cases/RETAILFX-SOW2 Market Order/Entry Point - Quick Action/SOW2 - Covert from USD to MYR,,,,2024-02-26 13:28:41,2024-02-26 13:31:13,2m - 31.391s,FAILED
"startExistingApplication(""com.maybank2u.life.uat"")",,,,2024-02-26 13:28:42,2024-02-26 13:28:54,12.492s,PASSED
a = 8,,,,2024-02-26 13:28:54,2024-02-26 13:28:54,0.002s,PASSED
"tap(findTestObject(""Global Account Page/dynamicText"", [""text"":findTestData(""Username_Password"").getValue(""G1A_Account_No"", a)]), 0, CONTINUE_ON_FAILURE)",,Select G1A Account,,2024-02-26 13:28:54,2024-02-26 13:28:56,1.436s,PASSED
"tap(findTestObject(""Global Account Page/dynamicText"", [""text"":""Convert Currency""]), 0, CONTINUE_ON_FAILURE)",,Tap on Convert Currency,,2024-02-26 13:28:56,2024-02-26 13:28:56,0.196s,PASSED
"checkLinkedDevice = Validation.checkElementExists(""Object Repository/Market Order Page/android.widget.TextView - Enter your password"")",,Check for the 1st Login,,2024-02-26 13:28:56,2024-02-26 13:29:26,30.156s,PASSED
if (checkLinkedDevice == true),,Check is there is password page,,2024-02-26 13:29:26,2024-02-26 13:29:26,0.001s,PASSED
else,,,,2024-02-26 13:29:26,2024-02-26 13:29:26,0.002s,PASSED
delay(5),,,,2024-02-26 13:29:26,2024-02-26 13:29:31,5.045s,PASSED
"comment(""TC039 - Validate user able to search for the currency"")",,,,2024-02-26 13:29:31,2024-02-26 13:29:31,0.012s,PASSED
"utilities.Market_Order.MarketOrder_FromDropdown(""US Dol"", ""USD - US Dollar"")",,,,2024-02-26 13:29:31,2024-02-26 13:29:38,6.903s,PASSED
delay(10),,,,2024-02-26 13:29:38,2024-02-26 13:29:48,10.020s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.TextView _EditText""), 0, CONTINUE_ON_FAILURE)",,Tap on the Im converting,,2024-02-26 13:29:48,2024-02-26 13:29:49,1.166s,PASSED
"digits = ""1000""",,,,2024-02-26 13:29:49,2024-02-26 13:29:49,0.004s,PASSED
Currency_Calculator.Currency_Numpad(digits),,,,2024-02-26 13:29:49,2024-02-26 13:29:54,4.495s,PASSED
"utilities.Mobile_Keywords.sow2market_orderdropdown(""MYR"", ""MYR - Malaysian Ringgit"")",,Verify Select Currency Page,,2024-02-26 13:29:54,2024-02-26 13:29:58,3.724s,PASSED
