Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Entry Point - Quick Action (1),,,,2024-02-29 17:09:43,2024-02-29 17:22:40,12m - 57.054s,FAILED
,,,,,,,
Test Cases/RETAILFX-SOW2 Market Order/Entry Point - Quick Action/Onboarding_SOW2RETAILFX,,,,2024-02-29 17:09:43,2024-02-29 17:12:44,3m - 0.212s,PASSED
"startExistingApplication(""com.maybank2u.life.uat"")",,,,2024-02-29 17:09:44,2024-02-29 17:10:00,16.452s,PASSED
utilities.General_Onboarding.Onboarding_Retailfx(8),,,,2024-02-29 17:10:00,2024-02-29 17:12:44,2m - 43.373s,PASSED
,,,,,,,
Test Cases/RETAILFX-SOW2 Market Order/Entry Point - Quick Action/SOW2 - G1A Account to G1A Account,,,,2024-02-29 17:12:44,2024-02-29 17:15:56,3m - 12.394s,FAILED
"startExistingApplication(""com.maybank2u.life.uat"")",,,,2024-02-29 17:12:45,2024-02-29 17:12:52,7.009s,PASSED
a = 8,,,,2024-02-29 17:12:52,2024-02-29 17:12:52,0.000s,PASSED
utilities.Entry_Point.Quick_Action(8),,,,2024-02-29 17:12:52,2024-02-29 17:14:21,1m - 29.463s,PASSED
"checkLinkedDevice = Validation.checkElementExists(""Object Repository/Market Order Page/android.widget.TextView - Enter your password"")",,Check for the 1st Login,,2024-02-29 17:14:21,2024-02-29 17:14:24,2.766s,PASSED
if (checkLinkedDevice == true),,Check is there is password page,,2024-02-29 17:14:24,2024-02-29 17:14:28,4.065s,PASSED
delay(10),,,,2024-02-29 17:14:28,2024-02-29 17:14:38,10.016s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.TextView _EditText""), 0, CONTINUE_ON_FAILURE)",,Tap on the Im converting,,2024-02-29 17:14:38,2024-02-29 17:14:38,0.324s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 20, OPTIONAL)",,,,2024-02-29 17:14:38,2024-02-29 17:14:39,1.216s,PASSED
"digits = ""5000""",,,,2024-02-29 17:14:39,2024-02-29 17:14:39,0.002s,PASSED
currency_Numpad(digits),,,,2024-02-29 17:14:39,2024-02-29 17:14:39,0.003s,PASSED
digit_length = digits.length(),,,,2024-02-29 17:14:39,2024-02-29 17:14:39,0.001s,PASSED
"for ([i = 0, i < digit_length, (i++)])",,,,2024-02-29 17:14:39,2024-02-29 17:14:42,2.519s,PASSED
"tap(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 5, OPTIONAL)",,,,2024-02-29 17:14:42,2024-02-29 17:14:43,0.708s,PASSED
delay(5),,,,2024-02-29 17:14:43,2024-02-29 17:14:48,5.025s,PASSED
"utilities.Mobile_Keywords.sow2market_orderdropdown(""US Dol"", ""USD - US Dollar"")",,Select USD,,2024-02-29 17:14:48,2024-02-29 17:14:52,4.526s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Exchange rate""]), 5, CONTINUE_ON_FAILURE)",,Verify Exchange Rate,,2024-02-29 17:14:52,2024-02-29 17:14:53,1.103s,PASSED
"currency_TextMsg = getText(findTestObject(""General/android.widget.TextView _Conversion""), 0, CONTINUE_ON_FAILURE)",,,,2024-02-29 17:14:53,2024-02-29 17:14:53,0.079s,PASSED
comment(currency_TextMsg),,TC067 - Validate Exchange Rate value when amount 1 change,,2024-02-29 17:14:53,2024-02-29 17:14:53,0.006s,PASSED
roundedNumber = Validation.convertUSDToMYR(currency_TextMsg),,,,2024-02-29 17:14:53,2024-02-29 17:14:53,0.035s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Conversion fee""]), 5, CONTINUE_ON_FAILURE)",,Verify the Coversion Fee,,2024-02-29 17:14:53,2024-02-29 17:14:54,0.080s,PASSED
